,quotes,count,cluster
0,great location,41084,All
1,walking distance,22722,All
2,nice place,22021,All
3,clean,21507,All
4,close tube station,13206,All
5,everything needed,10057,All
6,great host,10054,All
7,value money,8548,All
8,easy access,7712,All
9,central location,7424,All
10,comfortable bed,5392,All
11,apartment great,5015,All
12,comfortable,4932,All
13,well equipped,3990,All
14,public transport,3869,All
15,location near,3328,All
16,train station,3254,All
17,bus stop,2943,All
18,friendly helpful,2736,All
19,like home,2662,All
20,feel welcome,2501,All
21,great location,1876,L:Westminster_P:very_cheap_S:room
22,nice place,869,L:Westminster_P:very_cheap_S:room
23,walking distance,751,L:Westminster_P:very_cheap_S:room
24,clean,674,L:Westminster_P:very_cheap_S:room
25,close tube station,504,L:Westminster_P:very_cheap_S:room
26,great host,503,L:Westminster_P:very_cheap_S:room
27,value money,379,L:Westminster_P:very_cheap_S:room
28,central location,276,L:Westminster_P:very_cheap_S:room
29,everything needed,259,L:Westminster_P:very_cheap_S:room
30,easy access,233,L:Westminster_P:very_cheap_S:room
31,comfortable bed,214,L:Westminster_P:very_cheap_S:room
32,victoria station,192,L:Westminster_P:very_cheap_S:room
33,hyde park,187,L:Westminster_P:very_cheap_S:room
34,paddington station,158,L:Westminster_P:very_cheap_S:room
35,comfortable,147,L:Westminster_P:very_cheap_S:room
36,location near,134,L:Westminster_P:very_cheap_S:room
37,friendly helpful,112,L:Westminster_P:very_cheap_S:room
38,friendly host,100,L:Westminster_P:very_cheap_S:room
39,room nice,99,L:Westminster_P:very_cheap_S:room
40,short stay,95,L:Westminster_P:very_cheap_S:room
41,one night,86,L:Westminster_P:very_cheap_S:room
42,great location,876,L:Tower Hamlets_P:very_cheap_S:room
43,nice place,753,L:Tower Hamlets_P:very_cheap_S:room
44,clean,539,L:Tower Hamlets_P:very_cheap_S:room
45,value money,471,L:Tower Hamlets_P:very_cheap_S:room
46,walking distance,304,L:Tower Hamlets_P:very_cheap_S:room
47,close tube station,275,L:Tower Hamlets_P:very_cheap_S:room
48,great host,265,L:Tower Hamlets_P:very_cheap_S:room
49,everything needed,164,L:Tower Hamlets_P:very_cheap_S:room
50,brick lane,125,L:Tower Hamlets_P:very_cheap_S:room
51,easy access,124,L:Tower Hamlets_P:very_cheap_S:room
52,central location,111,L:Tower Hamlets_P:very_cheap_S:room
53,public transport,100,L:Tower Hamlets_P:very_cheap_S:room
54,canary wharf,82,L:Tower Hamlets_P:very_cheap_S:room
55,nice room,81,L:Tower Hamlets_P:very_cheap_S:room
56,short stay,80,L:Tower Hamlets_P:very_cheap_S:room
57,bethnal green,77,L:Tower Hamlets_P:very_cheap_S:room
58,city center,75,L:Tower Hamlets_P:very_cheap_S:room
59,room nice,70,L:Tower Hamlets_P:very_cheap_S:room
60,comfortable,69,L:Tower Hamlets_P:very_cheap_S:room
61,location near,67,L:Tower Hamlets_P:very_cheap_S:room
62,east london,65,L:Tower Hamlets_P:very_cheap_S:room
63,kitchen bathroom,63,L:Tower Hamlets_P:very_cheap_S:room
64,nice stay,62,L:Tower Hamlets_P:very_cheap_S:room
65,clean place,60,L:Tower Hamlets_P:very_cheap_S:room
66,bus stop,60,L:Tower Hamlets_P:very_cheap_S:room
67,good communication,55,L:Tower Hamlets_P:very_cheap_S:room
68,tower bridge,54,L:Tower Hamlets_P:very_cheap_S:room
69,easy check,52,L:Tower Hamlets_P:very_cheap_S:room
70,great location,928,L:Tower Hamlets_P:cheap_S:room
71,nice place,639,L:Tower Hamlets_P:cheap_S:room
72,clean,511,L:Tower Hamlets_P:cheap_S:room
73,great host,325,L:Tower Hamlets_P:cheap_S:room
74,walking distance,272,L:Tower Hamlets_P:cheap_S:room
75,value money,242,L:Tower Hamlets_P:cheap_S:room
76,close tube station,183,L:Tower Hamlets_P:cheap_S:room
