,location,price-boroughwise,property_type,review_scores_rating,listing_id
0,Lambeth,expensive,small,92.0,11551.0
33,Lambeth,cheap,room,98.0,53242.0
34,Lambeth,expensive,small,96.0,53245.0
50,Lambeth,cheap,room,96.0,72913.0
51,Lambeth,cheap,large,98.0,73431.0
62,Lambeth,average,small,96.0,80441.0
75,Lambeth,cheap,room,97.0,85191.0
91,Lambeth,cheap,room,97.0,93500.0
96,Lambeth,very_cheap,room,97.0,97506.0
106,Lambeth,expensive,small,90.0,101083.0
108,Lambeth,expensive,room,98.0,102565.0
124,Lambeth,expensive,small,95.0,131444.0
135,Lambeth,very_expensive,large,86.0,147244.0
144,Lambeth,very_cheap,room,94.0,159736.0
169,Lambeth,very_expensive,small,77.0,194664.0
184,Lambeth,very_expensive,large,87.0,227078.0
197,Lambeth,cheap,room,92.0,236956.0
240,Lambeth,cheap,room,93.0,268398.0
300,Lambeth,very_expensive,large,97.0,310724.0
302,Lambeth,very_cheap,room,99.0,311430.0
313,Lambeth,very_cheap,room,90.0,315489.0
314,Lambeth,cheap,room,95.0,315658.0
325,Lambeth,very_expensive,large,93.0,326314.0
328,Lambeth,very_expensive,small,99.0,329585.0
345,Lambeth,very_cheap,room,94.0,344094.0
346,Lambeth,very_cheap,room,95.0,344102.0
351,Lambeth,very_expensive,large,96.0,347849.0
352,Lambeth,very_cheap,room,99.0,347896.0
362,Lambeth,very_cheap,room,92.0,351727.0
385,Lambeth,expensive,small,98.0,365933.0
393,Lambeth,very_cheap,room,93.0,370824.0
398,Lambeth,cheap,room,87.0,375006.0
414,Lambeth,average,room,94.0,381916.0
418,Lambeth,average,room,96.0,383382.0
419,Lambeth,average,room,92.0,383416.0
437,Lambeth,very_cheap,room,97.0,388422.0
438,Lambeth,cheap,room,93.0,388644.0
466,Lambeth,very_cheap,room,98.0,390988.0
476,Lambeth,average,room,97.0,392045.0
495,Lambeth,average,room,97.0,401177.0
513,Lambeth,average,room,91.0,409270.0
540,Lambeth,very_cheap,room,83.0,420759.0
550,Lambeth,expensive,small,99.0,427080.0
552,Lambeth,expensive,large,94.0,427348.0
557,Lambeth,expensive,small,87.0,429444.0
589,Lambeth,very_cheap,room,97.0,442999.0
625,Lambeth,very_cheap,room,97.0,456315.0
652,Lambeth,very_cheap,room,99.0,465361.0
653,Lambeth,cheap,room,98.0,465435.0
669,Lambeth,cheap,room,90.0,469676.0
697,Lambeth,cheap,room,100.0,480580.0
713,Lambeth,expensive,small,94.0,494343.0
714,Lambeth,very_expensive,large,100.0,495153.0
717,Lambeth,expensive,room,96.0,496875.0
726,Lambeth,very_expensive,small,89.0,501544.0
732,Lambeth,very_expensive,room,100.0,502576.0
738,Lambeth,very_expensive,large,100.0,506997.0
746,Lambeth,cheap,room,93.0,509914.0
756,Lambeth,expensive,large,85.0,513198.0
777,Lambeth,cheap,large,97.0,521359.0
785,Lambeth,very_cheap,room,98.0,522946.0
823,Lambeth,very_expensive,large,96.0,536121.0
824,Lambeth,very_cheap,room,93.0,536794.0
825,Lambeth,average,large,93.0,536996.0
832,Lambeth,expensive,large,96.0,541081.0
849,Lambeth,average,room,92.0,549299.0
856,Lambeth,very_expensive,small,90.0,553233.0
864,Lambeth,very_expensive,large,97.0,558694.0
865,Lambeth,very_expensive,large,100.0,558798.0
872,Lambeth,expensive,large,93.0,561379.0
880,Lambeth,cheap,room,96.0,563705.0
888,Lambeth,cheap,small,92.0,566338.0
896,Lambeth,average,small,95.0,569963.0
898,Lambeth,cheap,room,98.0,570490.0
