,location,price-boroughwise,property_type,cluster_id
0,Barking and Dagenham,average,room,0
1,Barking and Dagenham,average,small,1
2,Barking and Dagenham,cheap,room,2
3,Barking and Dagenham,cheap,small,3
4,Barking and Dagenham,expensive,large,4
5,Barking and Dagenham,expensive,room,5
6,Barking and Dagenham,expensive,small,6
7,Barking and Dagenham,very_cheap,room,7
8,Barking and Dagenham,very_expensive,large,8
9,Barking and Dagenham,very_expensive,room,9
10,Barking and Dagenham,very_expensive,small,10
11,Barnet,average,large,11
12,Barnet,average,room,12
13,Barnet,average,small,13
14,Barnet,cheap,room,14
15,Barnet,cheap,small,15
16,Barnet,expensive,large,16
17,Barnet,expensive,room,17
18,Barnet,expensive,small,18
19,Barnet,very_cheap,room,19
20,Barnet,very_cheap,small,20
21,Barnet,very_expensive,large,21
22,Barnet,very_expensive,room,22
23,Barnet,very_expensive,small,23
24,Bexley,average,room,24
25,Bexley,cheap,room,25
26,Bexley,cheap,small,26
27,Bexley,expensive,large,27
28,Bexley,expensive,room,28
29,Bexley,expensive,small,29
30,Bexley,very_cheap,room,30
31,Bexley,very_expensive,large,31
32,Bexley,very_expensive,room,32
33,Bexley,very_expensive,small,33
34,Brent,average,large,34
35,Brent,average,room,35
36,Brent,average,small,36
37,Brent,cheap,room,37
38,Brent,cheap,small,38
39,Brent,expensive,large,39
40,Brent,expensive,room,40
41,Brent,expensive,small,41
42,Brent,very_cheap,large,42
43,Brent,very_cheap,room,43
44,Brent,very_cheap,small,44
45,Brent,very_expensive,large,45
46,Brent,very_expensive,room,46
47,Brent,very_expensive,small,47
48,Bromley,average,large,48
49,Bromley,average,room,49
50,Bromley,average,small,50
51,Bromley,cheap,large,51
52,Bromley,cheap,room,52
53,Bromley,cheap,small,53
54,Bromley,expensive,large,54
55,Bromley,expensive,room,55
56,Bromley,expensive,small,56
57,Bromley,very_cheap,room,57
58,Bromley,very_expensive,large,58
59,Bromley,very_expensive,room,59
60,Bromley,very_expensive,small,60
61,Camden,average,large,61
62,Camden,average,room,62
63,Camden,average,small,63
64,Camden,cheap,large,64
65,Camden,cheap,room,65
66,Camden,cheap,small,66
67,Camden,expensive,large,67
68,Camden,expensive,room,68
69,Camden,expensive,small,69
70,Camden,very_cheap,large,70
71,Camden,very_cheap,room,71
72,Camden,very_cheap,small,72
73,Camden,very_expensive,large,73
74,Camden,very_expensive,room,74
75,Camden,very_expensive,small,75
76,City of London,average,large,76
77,City of London,average,room,77
78,City of London,average,small,78
79,City of London,cheap,large,79
80,City of London,cheap,room,80
81,City of London,cheap,small,81
82,City of London,expensive,large,82
83,City of London,expensive,room,83
84,City of London,expensive,small,84
85,City of London,very_cheap,large,85
86,City of London,very_cheap,room,86
87,City of London,very_cheap,small,87
88,City of London,very_expensive,large,88
89,City of London,very_expensive,room,89
90,City of London,very_expensive,small,90
91,Croydon,average,large,91
92,Croydon,average,room,92
93,Croydon,average,small,93
94,Croydon,cheap,large,94
95,Croydon,cheap,room,95
96,Croydon,cheap,small,96
97,Croydon,expensive,large,97
98,Croydon,expensive,room,98
99,Croydon,expensive,small,99
100,Croydon,very_cheap,room,100
101,Croydon,very_expensive,large,101
102,Croydon,very_expensive,room,102
103,Croydon,very_expensive,small,103
104,Ealing,average,large,104
105,Ealing,average,room,105
106,Ealing,average,small,106
107,Ealing,cheap,large,107
108,Ealing,cheap,room,108
109,Ealing,cheap,small,109
110,Ealing,expensive,large,110
111,Ealing,expensive,room,111
112,Ealing,expensive,small,112
113,Ealing,very_cheap,large,113
114,Ealing,very_cheap,room,114
115,Ealing,very_cheap,small,115
116,Ealing,very_expensive,large,116
117,Ealing,very_expensive,room,117
118,Ealing,very_expensive,small,118
119,Enfield,average,large,119
120,Enfield,average,room,120
121,Enfield,average,small,121
122,Enfield,cheap,room,122
123,Enfield,cheap,small,123
124,Enfield,expensive,large,124
125,Enfield,expensive,room,125
126,Enfield,expensive,small,126
127,Enfield,very_cheap,room,127
128,Enfield,very_cheap,small,128
129,Enfield,very_expensive,large,129
130,Enfield,very_expensive,room,130
131,Enfield,very_expensive,small,131
132,Greenwich,average,large,132
133,Greenwich,average,room,133
134,Greenwich,average,small,134
135,Greenwich,cheap,large,135
136,Greenwich,cheap,room,136
137,Greenwich,cheap,small,137
138,Greenwich,expensive,large,138
139,Greenwich,expensive,room,139
140,Greenwich,expensive,small,140
141,Greenwich,very_cheap,large,141
142,Greenwich,very_cheap,room,142
143,Greenwich,very_cheap,small,143
144,Greenwich,very_expensive,large,144
145,Greenwich,very_expensive,room,145
146,Greenwich,very_expensive,small,146
147,Hackney,average,large,147
148,Hackney,average,room,148
149,Hackney,average,small,149
150,Hackney,cheap,large,150
151,Hackney,cheap,room,151
152,Hackney,cheap,small,152
153,Hackney,expensive,large,153
154,Hackney,expensive,room,154
155,Hackney,expensive,small,155
156,Hackney,very_cheap,large,156
157,Hackney,very_cheap,room,157
158,Hackney,very_cheap,small,158
159,Hackney,very_expensive,large,159
160,Hackney,very_expensive,room,160
161,Hackney,very_expensive,small,161
162,Hammersmith and Fulham,average,large,162
163,Hammersmith and Fulham,average,room,163
164,Hammersmith and Fulham,average,small,164
165,Hammersmith and Fulham,cheap,large,165
166,Hammersmith and Fulham,cheap,room,166
167,Hammersmith and Fulham,cheap,small,167
168,Hammersmith and Fulham,expensive,large,168
169,Hammersmith and Fulham,expensive,room,169
170,Hammersmith and Fulham,expensive,small,170
171,Hammersmith and Fulham,very_cheap,large,171
172,Hammersmith and Fulham,very_cheap,room,172
173,Hammersmith and Fulham,very_cheap,small,173
174,Hammersmith and Fulham,very_expensive,large,174
175,Hammersmith and Fulham,very_expensive,room,175
176,Hammersmith and Fulham,very_expensive,small,176
177,Haringey,average,large,177
178,Haringey,average,room,178
179,Haringey,average,small,179
180,Haringey,cheap,large,180
181,Haringey,cheap,room,181
182,Haringey,cheap,small,182
183,Haringey,expensive,large,183
184,Haringey,expensive,room,184
185,Haringey,expensive,small,185
186,Haringey,very_cheap,room,186
187,Haringey,very_cheap,small,187
188,Haringey,very_expensive,large,188
189,Haringey,very_expensive,room,189
190,Haringey,very_expensive,small,190
191,Harrow,average,large,191
192,Harrow,average,room,192
193,Harrow,average,small,193
194,Harrow,cheap,room,194
195,Harrow,expensive,large,195
196,Harrow,expensive,room,196
197,Harrow,expensive,small,197
198,Harrow,very_cheap,room,198
199,Harrow,very_expensive,large,199
200,Harrow,very_expensive,room,200
201,Harrow,very_expensive,small,201
202,Havering,average,room,202
203,Havering,average,small,203
204,Havering,cheap,room,204
205,Havering,expensive,large,205
206,Havering,expensive,room,206
207,Havering,expensive,small,207
208,Havering,very_cheap,room,208
209,Havering,very_expensive,large,209
210,Havering,very_expensive,room,210
211,Havering,very_expensive,small,211
212,Hillingdon,average,room,212
213,Hillingdon,average,small,213
214,Hillingdon,cheap,room,214
215,Hillingdon,cheap,small,215
216,Hillingdon,expensive,large,216
217,Hillingdon,expensive,room,217
218,Hillingdon,expensive,small,218
219,Hillingdon,very_cheap,room,219
220,Hillingdon,very_cheap,small,220
221,Hillingdon,very_expensive,large,221
222,Hillingdon,very_expensive,room,222
223,Hillingdon,very_expensive,small,223
224,Hounslow,average,large,224
225,Hounslow,average,room,225
226,Hounslow,average,small,226
227,Hounslow,cheap,room,227
228,Hounslow,cheap,small,228
229,Hounslow,expensive,large,229
230,Hounslow,expensive,room,230
231,Hounslow,expensive,small,231
232,Hounslow,very_cheap,large,232
233,Hounslow,very_cheap,room,233
234,Hounslow,very_expensive,large,234
235,Hounslow,very_expensive,room,235
236,Hounslow,very_expensive,small,236
237,Islington,average,large,237
238,Islington,average,room,238
239,Islington,average,small,239
240,Islington,cheap,large,240
241,Islington,cheap,room,241
242,Islington,cheap,small,242
243,Islington,expensive,large,243
244,Islington,expensive,room,244
245,Islington,expensive,small,245
246,Islington,very_cheap,large,246
247,Islington,very_cheap,room,247
248,Islington,very_cheap,small,248
249,Islington,very_expensive,large,249
250,Islington,very_expensive,room,250
251,Islington,very_expensive,small,251
252,Kensington and Chelsea,average,large,252
253,Kensington and Chelsea,average,room,253
254,Kensington and Chelsea,average,small,254
255,Kensington and Chelsea,cheap,large,255
256,Kensington and Chelsea,cheap,room,256
257,Kensington and Chelsea,cheap,small,257
258,Kensington and Chelsea,expensive,large,258
259,Kensington and Chelsea,expensive,room,259
260,Kensington and Chelsea,expensive,small,260
261,Kensington and Chelsea,very_cheap,large,261
262,Kensington and Chelsea,very_cheap,room,262
263,Kensington and Chelsea,very_cheap,small,263
264,Kensington and Chelsea,very_expensive,large,264
265,Kensington and Chelsea,very_expensive,room,265
266,Kensington and Chelsea,very_expensive,small,266
267,Kingston upon Thames,average,large,267
268,Kingston upon Thames,average,room,268
269,Kingston upon Thames,average,small,269
270,Kingston upon Thames,cheap,room,270
271,Kingston upon Thames,cheap,small,271
272,Kingston upon Thames,expensive,large,272
